Word, Count
b'billions',6
b'mistreated',1
b'roads',1
b'given',2
b'work',10
b'closest',1
b'inventors',1
b'bridges',2
b'History',1
b'chance',1
b'heart',1
b'creeds',1
b'vetting',2
b'He',2
b'reduce',2
b'Ive',3
b'taken',2
b'center\xe2\x80\x94with',1
b'against',2
b'formed',1
b'started',1
b'passes',1
b'Action',1
b'school',5
b'respect',4
b'quarterback',1
b'livelihood',1
b'drug',3
b'partners\xe2\x80\x94whether',1
b'necessity',1
b'behalf',1
b'rule',3
b'little',1
b'cold',1
b'believe',6
b'drugs',3
b'budget',2
b'obligation',1
b'could',3
b'values',1
b'vision',3
b'others',2
b'data',1
b'advances',1
b'Americas',2
b'complaining',1
b'remarkable',1
b'highly',1
b'Immigration',1
b'every',8
b'deep',1
b'Thomas',1
b'across',10
b'recent',1
b'NAFTA',1
b'than',8
b'miracles',2
b'showed',2
b'vital',2
b'into',5
b'largest',2
b'resources',3
b'historic',3
b'childcare',1
b'Crumbling',1
b'almost',2
b'advantage',2
b'capital',1
b'funds',1
b'alone',2
b'These',2
b'creations',1
b'telephone',1
b'example',1
b'Black',1
b'battling',1
b'upon',2
b'never',6
b'dream',1
b'launch',1
b'protest',1
b'social',1
b'Trudeau',1
b'Canada',2
b'turned',1
b'D',1
b'steps',2
b'Disease',1
b'its',14
b'division',1
b'chart',1
b'gleaming',1
b'other',8
b'policy',3
b'succeed',1
b'Protecting',1
b'tens',3
b'brighter',1
b'Sprint',1
b'telegraph',1
b'force',1
b'Denisha',3
b'ship',2
b'bravery',1
b'earthquake',1
b'Shaw',2
b'stock',1
b'widow',1
b'members',4
b'Justin',1
b'coordinate',1
b'America',27
b'ready',2
b'bring',4
b'capital\xe2\x80\x94creating',1
b'chapter',2
b'communities',2
b'forged',1
b'forget',1
b'building',1
b'experienced',1
b'opposite',1
b'Senior',1
b'problems',1
b'warrior',1
b'centers',1
b'prior',1
b'credits',1
b'singleyear',1
b'reforming',1
b'abroad',1
b'Kansas',1
b'history',4
b'what',4
b'even',6
b'national',6
b'harm',1
b'extremists',1
b'enemy',2
b'time',11
b'Thank',7
b'centennial',1
b'alliance',2
b'dethroned',1
b'or',7
b'White',1
b'concerns',1
b'government',2
b'guided',3
b'acceptable',1
b'asking',6
b'now\xe2\x80\x94you',1
b'neighbors',2
b'reason',1
b'forever',1
b'been',9
b'4000',1
b'20',2
b'At',4
b'wall',1
b'pressing',1
b'these',3
b'legal',2
b'frank',1
b'According',2
b'leave',4
b'long',7
b'Education',1
b'former',1
b'But',14
b'Obamacare',5
b'longer',2
b'food',1
b'voice',1
b'begin',2
b'economy',1
b'lawless',2
b'countries',4
b'let',1
b'illegal',2
b'targeting',1
b'grasp',1
b'moment',2
b'lobbyists',1
b'peace',3
b'improve',1
b'light',2
b'blinded',1
b'Nation',9
b'ignored',2
b'look',4
b'speak',2
b'initiated',1
b'executive',1
b'parents',1
b'differences',1
b'instead',1
b'condemning',1
b'restore',2
b'construction',2
b'proudly',1
b'restart',1
b'Reducing',1
b'no',5
b'terrorism',4
b'youth',2
b'ultimately',1
b'open',1
b'ask',2
b'truly',3
b'Crime',2
b'State',5
b'Michael',1
b'everything',1
b'5year',1
b'advice',1
b'good',5
b'see',2
b'fathers',2
b'Lady',1
b'vandalism',1
b'Because',1
b'Merriweather',1
b'networks',1
b'By',1
b'aspirations',1
b'exported',1
b'put',2
b'market',1
b'scholarship',1
b'Prime',1
b'while',4
b'by',25
b'got',1
b'failed',2
b'will',56
b'Yet',1
b'disaster',1
b'loses',1
b'Ninetyfour',1
b'percent',2
b'doctors',1
b'spoken',1
b'stir',1
b'system',7
b'nonessential',1
b'remind',1
b'last',6
b'slaughtered',1
b'very',15
b'failing',1
b'laws',4
b'border',2
b'member',1
b'safer',1
b'forced',1
b'unbroken',1
b'raged',1
b'soon',1
b'Rare',1
b'living',1
b'With',1
b'reaffirmed',1
b'new',18
b'achieve',3
b'refused',1
b'East',2
b'burdened',1
b'man',2
b'It',6
b'strongly',2
b'coal',1
b'young',3
b'died',1
b'fantastic\xe2\x80\x94new',1
b'counties',1
b'mind',1
b'costs',4
b'deliver',2
b'defeated',1
b'masters',1
b'defense',2
b'yourselves',1
b'calling',3
b'trust',1
b'so',15
b'Then',1
b'offenses',1
b'free',5
b'An',2
b'Laughter',4
b'cases',1
b'mothers',2
b'schools',1
b'World',2
b'partners',1
b'Your',1
b'8',1
b'left',2
b'Vice',1
b'warriors',1
b'would',3
b'story',1
b'crumbling',1
b'crumbled',1
b'foe\xe2\x80\x94will',1
b'hands',1
b'health',9
b'Bible',1
b'weeks',1
b'pouring',2
b'vile',1
b'nation',4
b'Currently',1
b'serious',1
b'Intelligence',1
b'must',20
b'unveiled',1
b'allow',4
b'gang',2
b'law',4
b'freedom',3
b'deserves',1
b'increase',3
b'jobcrushing',1
b'devotion',1
b'power',1
b'around',1
b'poorest',2
b'radical',1
b'treatment',1
b'plagued',1
b'overseas',2
b'price',3
b'ballistic',1
b'USA',1
b'theyre',1
b'embrace',1
b'evening',1
b'symbol',1
b'first',5
b'small',2
b'begun',1
b'repeal',1
b'Thirdly',1
b'said',4
b'promises',3
b'bold',1
b'my',7
b'salute',1
b'Director',1
b'jet',1
b'accounts',1
b'His',1
b'increases',1
b'Later',1
b'taxpayers',3
b'persons',1
b'Edison',1
b'getting',1
b'Germany',1
b'reminded',1
b'ugly',1
b'among',1
b'legislation',1
b'over',4
b'250th',4
b'worst',1
b'project',1
b'once',2
b'ride',1
b'such',1
b'witnessing',1
b'100',1
b'Special',1
b'Remember',1
b'Chief',1
b'public',3
b'watching',1
b'dismantle',1
b'illness',1
b'that\xe2\x80\x94and',2
b'became',2
b'cross',1
b'case',1
b'Jenna',4
b'election',2
b'torch',2
b'tools',1
b'keeping',1
b'enrolled',1
b'hope',3
b'pure',1
b'Danny',1
b'lifetime',2
b'wealth',1
b'course',1
b'are',37
b'us',19
b'lifted',1
b'affordable',1
b'Police',1
b'is',58
b'solved',1
b'any',2
b'hearts',1
b'Supreme',1
b'rebirth',1
b'William',1
b'blood',1
b'I',38
b'Maureen',2
b'expected',1
b'To',6
b'indeed',1
b'audience',2
b'relief',1
b'motorcycles',2
b'250',2
b'team',1
b'criminal',2
b'has',13
b'graduate',1
b'provided',1
b'means',1
b'Governors',1
b'making',1
b'footprints',1
b'based',2
b'murdered',1
b'savages',1
b'currently',1
b'Oliver',4
b'ISIS',1
b'private',3
b'Finally',3
b'path',2
b'Mattis',1
b'17yearold',1
b'slain',1
b'2015',1
b'develop',2
b'pillars',1
b'playing',1
b'raise',2
b'survivor',1
b'Recent',1
b'fighting',1
b'Drug',1
b'words',1
b'hurting',1
b'Graham',1
b'way',4
b'taking',1
b'lived',1
b'preexisting',1
b'year',9
b'Congress',8
b'wide',1
b'slow',2
b'wonderful',1
b'party',1
b'challenges',1
b'expanded',1
b'protective',1
b'because',4
b'unity',1
b'borders',4
b'leaving',2
b'son',1
b'easier',1
b'special',1
b'VOICE',1
b'Megan',3
b'families',3
b'become',4
b'he',6
b'join',2
b'Christians',1
b'President',3
b'Irans',1
b'illnesses',1
b'Everything',1
b'imploding',1
b'another',2
b'quickly',1
b'wherever',1
b'four',1
b'Motors',1
b'principle',1
b'miners',1
b'Force',2
b'States',11
b'Tonight',3
b'thousands',3
b'sending',1
b'First',2
b'massive',1
b'glorious',1
b'generated',1
b'whether',1
b'chain',1
b'Day',1
b'welfare',1
b'and',189
b'stability',1
b'unprecedented',1
b'Chicago',2
b'stamps',1
b'charter',1
b'southern',1
b'allies',6
b'Earth',1
b'Abraham',1
b'drive',2
b'three',1
b'turn',1
b'Davis',3
b'beginning',2
b'lead',2
b'paid',1
b'calls',2
b'heroes',1
b'expand',2
b'Homeland',2
b'faith',1
b'Governmentapproved',1
b'unbounded',1
b'reaching',1
b'lay',1
b'partnerships',1
b'Jessica',3
b'demolish',1
b'collapsing',2
b'Susan',4
b'tax',6
b'France',1
b'stop',4
b'ordered',2
b'Muslims',1
b'globe',1
b'towards',1
b'evil',1
b'where',7
b'raid',1
b'California',1
b'railways',1
b'praying',1
b'Millions',1
b'silenced',1
b'seat',1
b'exchanges',1
b'message',2
b'home',7
b'months',1
b'Federal',1
b'met',1
b'Theres',1
b'told',2
b'along',2
b'doctor',1
b'wedge',1
b'Lincoln',2
b'African',1
b'opportunity',1
b'money',1
b'undertaken',1
b'Alexander',1
b'deportations',1
b'uncontrolled',1
b'Remington',1
b'higher',1
b'potential',1
b'renewal',2
b'straining',1
b'why',2
b'The',12
b'uphold',1
b'inspiration',1
b'braver',1
b'broke',1
b'honor',2
b'theyll',1
b'American',33
b'US',1
b'1876',1
b'benefits',1
b'his',10
b'learn',2
b'providing',1
b'impossible',1
b'marketplace',1
b'hiring',1
b'rate',5
b'entrepreneurs',1
b'future',8
b'disadvantaged',1
b'same',6
b'transition',1
b'civil',2
b'on',27
b'6',2
b'sound',1
b'incredible',4
b'make',6
b'get',6
b'your',4
b'withdrawn',1
b'safe',5
b'unite',1
b'ones',5
b'placing',1
b'child',4
b'cannot',3
b'electric',2
b'Ryan',5
b'high',5
b'global',1
b'Government',6
b'Pentagon',1
b'woman',2
b'wanted',2
b'Nations',3
b'doubts',1
b'give',3
b'contracts',1
b'a',92
b'A',2
b'conditions',2
b'safety',1
b'know',6
b'judges',1
b'update',1
b'Month',1
b'century',1
b'shot',2
b'greatly',1
b'strong',3
b'Sciences',1
b'When',2
b'within',1
b'Kentucky',1
b'outline',1
b'increased',1
b'wages',4
b'Access',1
b'family',4
b'No',2
b'FDA',1
b'when',7
b'found',1
b'gunned',1
b'National',2
b'religious',1
b'cost',2
b'airports',1
b'form',2
b'win',1
b'precious',1
b'loved',3
b'Weve',4
b'Think',1
b'failures',1
b'On',3
b'hero',2
b'fair',5
b'occur',1
b'clean',2
b'bill',1
b'imposing',2
b'list',1
b'who',18
b'terrorismrelated',1
b'think',1
b'mistakes',2
b'Partnership',1
b'tell',1
b'choice',5
b'empowered',1
b'terrible',3
b'abandonment',1
b'our',108
b'happy',2
b'fact',3
b'families\xe2\x80\x94enter',1
b'imposed',1
b'provide',4
b'Since',1
b'accessible',1
b'Chrysler',1
b'5',2
b'receiving',1
b'Highway',1
b'destroy',1
b'going',5
b'for',54
b'represent',2
b'promised',2
b'far',3
b'always',2
b'Have',1
b'planet',1
b'years',7
b'against\xe2\x80\x94the',1
b'industries',1
b'dealers',1
b'Interstate',1
b'destruction',1
b'share',3
b'men',5
b'ever',2
b'steel',1
b'bleed',1
b'stands',1
b'shortly',1
b'fascism',1
b'15',1
b'trillions',2
b'you',23
b'advance',1
b'attacks',2
b'action',1
b'Speaker',1
b'seize',1
b'totally',1
b'goals',2
b'loud',1
b'fantastic\xe2\x80\x94and',1
b'crucial',1
b'Muslim',1
b'shared',1
b'beneath',1
b'but',10
b'Center',1
b'Switching',1
b'reconfirmed',1
b'Administration',1
b'remains',1
b'hearing',1
b'laid',1
b'wars',2
b'circumstances',1
b'fights',1
b'fast',2
b'record',3
b'generation',1
b'Medicaid',1
b'fighter',1
b'land',2
b'return',1
b'citizens',11
b'council',1
b'Our',8
b'direct',2
b'Cures',1
b'life',6
b'flexibility',1
b'insurance',5
b'just',14
b'Academy',1
b'My',5
b'Boston',1
b'lobbying',1
b'agency',1
b'well',2
b'Presidents',1
b'choose',1
b'joined',2
b'obligations',1
b'middle',3
b'credit',1
b'her',3
b'True',1
b'massively',1
b'legacy',1
b'process',2
b'made',6
b'Detective',1
b'quote\xe2\x80\x94Ryan',1
b'Mr',2
b'fill',2
b'compete',1
b'nearly',3
b'called',1
b'discussions',1
b'Secondly',1
b'business',4
b'removing',1
b'United',12
b'broken',2
b'how',3
b'They',8
b'sequester',1
b'unemployed',1
b'reckless',1
b'keeps',1
b'products',2
b'they',23
b'honored',1
b'families\xe2\x80\x94including',1
b'deregulation',1
b'pleas',1
b'richly',1
b'common',2
b'successful',1
b'one',14
b'cooperation',1
b'rights',4
b'competitive',1
b'twice',2
b'college',3
b'rebuild',1
b'excelled',1
b'Detroit',1
b'value',1
b'We',35
b'nonmilitary',1
b'firmly',1
b'Security',2
b'nationwide',1
b'cleared',1
b'chaos',1
b'confidence',1
b'TransPacific',1
b'dad',1
b'reach',1
b'set',1
b'early',1
b'tariffs',1
b'Some',1
b'magnificent',1
b'funding',1
b'convicted',1
b'depresses',1
b'doing',2
b'State\xe2\x80\x94the',1
b'international',1
b'goods',2
b'Jewish',2
b'meet',1
b'yes',1
b'displayed',2
b'2001',1
b'use',2
b'policies',1
b'Above',1
b'wellbeing',1
b'maybe',1
b'off',2
b'branch',1
b'their',17
b'bonds',1
b'liberty',1
b'entry',1
b'duty',1
b'start',1
b'founded',1
b'entities',1
b'them',10
b'sheriffs',1
b'aggressive',1
b'nice',1
b'of',149
b'bringing',1
b'Hopefully',1
b'income',1
b'Crowley',1
b'inspired',1
b'fears',1
b'less',1
b'skill',1
b'immigration',7
b'fight',2
b'now',11
b'husbands',1
b'women',5
b'Dame',1
b'Her',1
b'much',8
b'role',1
b'willing',1
b'down',10
b'rebuilding',3
b'meeting',1
b'diagnosed',1
b'43',2
b'lawn',1
b'cure',1
b'about',2
b'break',3
b'line',1
b'chorus',2
b'markets',1
b'unbreakable',1
b'large',2
b'country',21
b'Megans',4
b'creating',2
b'enforce',2
b'1',2
b'at',15
b'honestly',1
b'Bernardino',1
b'crime',1
b'disunity',1
b'can',11
b'trade',4
b'pay',2
b'define',1
b'access',4
b'to',144
b'wonders',1
b'Carryn',1
b'media',1
b'voices',1
b'worry',1
b'as',21
b'Trade',2
b'went',1
b'right',6
b'prosper',1
b'series',1
b'program\xe2\x80\x94the',1
b'attend',1
b'past',6
b'own',4
b'live',2
b'Were',1
b'Senate',1
b'Softbank',1
b'epidemic',1
b'anyone',2
b'air',1
b'able',4
b'criminals',1
b'60000',1
b'Defense',1
b'San',1
b'threaten',2
b'reform',2
b'rely',1
b'this',23
b'big',4
b'office',2
b'following',1
b'Fourth',1
b'victims',2
b'unify',1
b'grade',1
b'done',3
b'majority',1
b'independence',1
b'further',3
b'charge',1
b'parties',2
b'Dakota',1
b'Republican',2
b'lines',1
b'divided',1
b'struggled',1
b'five',1
b'bound',1
b'available',1
b'feet',1
b'manufacturing',1
b'ago',1
b'an',16
b'extinguish',1
b'Baltimore',1
b'had',5
b'procedures',1
b'thank',2
b'patients',1
b'Kentucky\xe2\x80\x94and',1
b'Members',2
b'today',2
b'front',1
b'threats',1
b'lower',3
b'focus',1
b'placed',1
b'savings',1
b'Walmart',1
b'automatic',1
b'beliefs',1
b'approved',1
b'seeking',1
b'digits',1
b'Its',4
b'neglected',1
b'securing',1
b'built',1
b'shifted',1
b'Those',1
b'gallery',3
b'appoint',1
b'pour',1
b'overcome',1
b'before\xe2\x80\x94for',1
b'House',1
b'conflict',2
b'recovery',1
b'do',10
b'move',1
b'side',1
b'greatness',2
b'those',11
b'companies',7
b'In',6
b'longterm',1
b'kept',1
b'nomination',1
b'financed',1
b'General',2
b'9',1
b'celebrate',3
b'admission',1
b'wonder',1
b'she',5
b'keep',6
b'back',3
b'out',8
b'implement',1
b'Scalia',2
b'swamp',1
b'safely',1
b'forms',1
b'November',1
b'cooperate',1
b'disasters',2
b'vehicle',1
b'fulfill',1
b'3',1
b'have',49
b'deeply',1
b'billion',1
b'entire',1
b'cemeteries',1
b'System',1
b'away',1
b'community',4
b'forge',1
b'friend',2
b'basic',1
b'like',5
b'hire',1
b'Gorsuch',1
b'education',1
b'was',15
b'Sitting',1
b'harmony',1
b'Theyre',1
b'flag',1
b'swiftly',1
b'debt',1
b'pride',1
b'foreign',6
b'Joining',2
b'NATO',2
b'Over',1
b'come',4
b'Pompe',1
b'help',7
b'8\xe2\x80\x94a',1
b'inner',2
b'war',4
b'sanctuary',1
b'financially',1
b'looking',1
b'proud',1
b'negotiate',1
b'humanitarian',1
b'taxed',2
b'Antonin',1
b'States\xe2\x80\x94financed',1
b'Americans',15
b'werent',1
b'measures',1
b'storied',1
b'respects',1
b'116',1
b'that',61
b'simple',1
b'principles',2
b'challenge',1
b'mainly',1
b'prime',1
b'next',1
b'administration',4
b'outside',1
b'Applause',2
b'strategic',1
b'inherited',2
b'people',15
b'pass',1
b'unadulterated',1
b'hate',1
b'dreaming',1
b'Philadelphia',1
b'released',1
b'forces',1
b'dreams',5
b'Also',1
b'Fiat',1
b'Dying',1
b'happen',1
b'everyone',3
b'from',22
b'express',1
b'engine',1
b'operations',1
b'places',2
b'program',3
b'delivered',2
b'Jamiel',4
b'invest',2
b'water',1
b'factories',1
b'network',1
b'promise',1
b'peaceful',1
b'simply',1
b'ban\xe2\x80\x94applause\xe2\x80\x94thank',1
b'marvels',1
b'Belgium',1
b'spread',1
b'is\xe2\x80\x94division',1
b'Every',2
b'courage',1
b'tunnels',1
b'pressure',1
b'slash',1
b'warned',1
b'immigrant',3
b'jobkilling',1
b'daring',1
b'not',26
b'face',1
b'desperately',1
b'change',1
b'dollars',7
b'typewriter',1
b'Inauguration',1
b'love',5
b'there',3
b'up',5
b'two',4
b'question',1
b'fought',2
b'taxes',1
b'individuals',2
b'tonight',10
b'company',2
b'trivial',1
b'anniversary',2
b'watched',1
b'Food',1
b'day',2
b'enroll',1
b'act',2
b'helped',1
b'poverty',3
b'improved',1
b'Onethird',1
b'Sheriff',1
b'developing',1
b'gained',1
b'integrity',1
b'Israel',1
b'working',3
b'prevent',1
b'military',5
b'supporting',1
b'pipelines',2
b'meaningful',2
b'through',3
b'declared',1
b'announced',1
b'ravaged',1
b'Pacific\xe2\x80\x94to',1
b'Republicans',3
b'wants',1
b'asked',2
b'engagement',1
b'many',12
b'Justice',4
b'Governor',1
b'triple',1
b'Australia',1
b'spirit',3
b'Court',2
b'weve',4
b'enrich',1
b'Constitution',1
b'cartels',1
b'late',1
b'800',1
b'if',2
b'Imagine',1
b'issue',1
b'beautiful',1
b'Middle',2
b'Departments',1
b'proper',1
b'ought',1
b'create',7
b'joining',1
b'want',9
b'finally',3
b'class',3
b'replaced',1
b'Engagement',1
b'badly',2
b'cant',1
b'directed',2
b'bless',2
b'sweeping',1
b'answered',1
b'brave',3
b'murder',2
b'unsustainable',1
b'girl',1
b'roaring',1
b'important',1
b'Department',5
b'Bad',1
b'job',4
b'etched',1
b'truth',1
b'daughters',1
b'violence',1
b'security',3
b'chosen',1
b'worlds',1
b'becoming',1
b'deficit',1
b'began',1
b'fates',1
b'Heroic',1
b'tragic',1
b'plan',4
b'losing',2
b'Dwight',1
b'interests',3
b'fixed',1
b'month',1
b'kind',2
b'decades',3
b'regulations',3
b'rebuilds',1
b'beachhead',1
b'names',1
b'only',5
b'approval',1
b'Jr',1
b'real',1
b'together',4
b'may',1
b'Notre',1
b'build',1
b'possibilities',1
b'in',73
b'Each',1
b'ground',1
b'911',1
b'labor',1
b'workers',6
b'serve',3
b'issued',1
b'sales',1
b'uniform',2
b'enemies',1
b'China',1
b'More',1
b'promote',1
b'themselves',1
b'theyve',1
b'City',1
b'demand',1
b'rebuilt',1
b'say',1
b'the',219
b'it',11
b'cut',1
b'outcome',1
b'purchase',2
b'colors',1
b'faiths',1
b'From',1
b'thinking',1
b'sure',1
b'protect',5
b'came',2
b'directive',1
b'F35',1
b'hard',1
b'artificially',1
b'expect',2
b'struggling',1
b'Ford',1
b'still',1
b'sanctions',1
b'conclusion',1
b'communism',1
b'children',8
b'rates',1
b'artists',1
b'poisoning',1
b'Here',1
b'victories',1
b'robust',1
b'environment',1
b'healing',1
b'Minister',1
b'enter',1
b'also',8
b'Operator',1
b'highest',1
b'attempt',1
b'This',5
b'stable',1
b'ruin',1
b'saving',1
b'defended',1
b'pen',1
b'support',6
b'lost',2
b'produces',1
b'souls',2
b'displaced',1
b'united',2
b'Very',1
b'half',1
b'me\xe2\x80\x94without',1
b'all',32
b'Bell',1
b'after',1
b'unanimously',1
b'missile',1
b'onefourth',1
b'Bevin',1
b'countless',1
b'quiet',2
b'again',2
b'Today',3
b'old',3
b'am',13
b'produce',1
b'financial',3
b'viciously',2
b'save',4
b'trillion',4
b'countrys',1
b'corruption',1
b'progress',1
b'here',2
b'Deputy',1
b'Ryans',1
b'She',1
b'ensure',3
b'reforms',2
b'Mandating',1
b'used',1
b'Latino',1
b'Neil',1
b'meritbased',2
b'eluded',1
b'whose',1
b'strength',1
b'Another',1
b'align',1
b'Intel',1
b'intelligence',1
b'Right',1
b'mandates',1
b'effort',2
b'hundreds',1
b'sons',1
b'What',3
b'Matt',1
b'buy',2
b'combined',1
b'streets',1
b'Free',1
b'saved',3
b'core',1
b'Solving',1
b'ability',1
b'puts',1
b'For',3
b'daughter',2
b'milestones',1
b'million',3
b'problem',1
b'Islamic',1
b'more',13
b'innocent',1
b'blessed',2
b'greater',4
b'strategy',1
b'Task',2
b'spoke',2
b'husband',1
b'defend',3
b'news',1
b'justice',3
b'care',5
b'jobs',9
b'As',4
b'approximately',1
b'strengthen',1
b'Believe',1
b'insurer',1
b'shooting',1
b'inside',2
b'level',1
b'require',2
b'eternity',1
b'tap',1
b'be',28
b'unnecessary',1
b'great',15
b'officials',2
b'Arizona',1
b'regulation',1
b'solution',2
b'against\xe2\x80\x94not',1
b'hopes',2
b'present',1
b'deserve',2
b'Violent',1
b'So',2
b'premiums',1
b'founding',1
b'learning',1
b'then',5
b'disease',2
b'really',1
b'teaches',1
b'mark',1
b'confirmed',1
b'go',1
b'adopting',1
b'including',2
b'If',3
b'restraints',1
b'things',2
b'womens',1
b'highpaying',1
b'Democrats',3
b'since',7
b'should',12
b'100th',1
b'find',5
b'Should',1
b'compassionate',1
b'center',1
b'else',1
b'thrive',1
b'decisively',1
b'infrastructure',6
b'possible',1
b'prey',1
b'guide',1
b'spent',2
b'Judge',1
b'immediately',1
b'Jamiels',1
b'economic',1
b'Appeals',1
b'world\xe2\x80\x94all',1
b'anywhere',2
b'we',67
b'coverage',2
b'were',7
b'grow',3
b'world\xe2\x80\x94friend',1
b'which',2
b'amounts',1
b'it\xe2\x80\x94that',1
b'acknowledge',1
b'vast',1
b'Navy',1
b'none',1
b'positive',1
b'better',5
b'thereby',1
b'destiny',1
b'drain',1
b'rare',2
b'me',2
b'eliminated',1
b'father',2
b'seen',3
b'burdensome',1
b'third',1
b'degree',1
b'shrink',1
b'fear',1
b'Eisenhower',1
b'65',1
b'memory',1
b'take',4
b'field',1
b'expressing',1
b'best',1
b'ban',2
b'addicted',1
b'requires',1
b'God',3
b'approve',2
b'campaign',1
b'need',6
b'wear',1
b'enforcement',3
b'heeded',1
b'2016',1
b'celebration',2
b'too',6
b'cycle',3
b'times',1
b'replace',1
b'Owens',2
b'rebellion',1
b'leadership',1
b'builders',1
b'Keystone',1
b'mine',1
b'millions',5
b'behind',2
b'double',1
b'surge',1
b'world',13
b'All',1
b'learning\xe2\x80\x94great',1
b'eliminates',1
b'prison',1
b'skilled',1
b'sophomore',1
b'unlimited',1
b'Lockheed',1
b'both',4
b'nothing',2
b'spending',1
b'friends',6
b'That',2
b'society',1
b'outdated',1
b'institutions',1
b'veterans',3
b'magnet',1
b'part',1
b'forgotten',1
b'Their',2
b'throughout',4
b'freeze',1
b'workers\xe2\x80\x94have',1
b'cities',3
b'Organization',1
b'current',3
b'with',32
b'And',19
b'HarleyDavidson',1
b'mission',1
b'harder',1
b'nations',5
b'investment',1
b'Victims',1
b'accomplish',1
b'distant',1
b'John',1
b'enforcing',1
b'optimism',1
